id,qid1,qid2,is_duplicate,question1_clean,question2_clean,question1_len,question2_len,common_words,cosine_distance,euclidean_distances,minkowski_distances,manhattan_distances,jaccard_distances,fuzz_ratio,fuzz_partial_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
30,61,62,0,what be one thing would like well,what be one thing despite know well,33,35,5,0.6432902851664948,0.8446415983522305,0.6841063221344021,1.8922292610699198,0.9285714285714286,71,67,80,74
31,63,64,1,special care someone nose get stuffy night,keep nose get stuffy night,42,26,4,0.6980677805100997,0.7770871501831702,0.6146448493343708,1.7674269675529595,0.9090909090909091,68,92,89,62
32,65,66,1,game thrones villain would likely give mercy,game thrones villain would like mercy of,44,40,5,0.7733827864159568,0.6732268764451449,0.541845695415139,1.3568017890445063,0.9230769230769231,88,82,89,88
33,67,68,0,united states government still blacklist employment etc united states citizen political view,average speed gas molecule determine,92,36,0,0.0,1.4142135623730951,0.9396740020495121,5.210482444812771,0.9230769230769231,11,36,26,23
34,69,70,0,good travel website spain,good travel website,25,19,3,0.7543689157129698,0.700900969163305,0.6634986870921684,1.0687679876957892,0.875,86,100,100,86
35,71,72,0,people think obama try take gun away,gun control initiative take away gun people already own,36,55,4,0.5578189137718558,0.9404053234942306,0.6692194502527575,2.8550402746432684,0.9375,22,37,71,48
36,73,74,0,be year old improve skill become entrepreneur next year,year old guy become billionaire next year,55,41,4,0.6287362654485351,0.8617003360234521,0.648522597053727,2.2026413173315635,0.9333333333333333,62,59,71,62
37,75,76,0,girlfriend ask boyfriend why choose make want one reply she,girlfriend say end confused feeling wish well disconnected call ask want get back together,59,90,3,0.22464377326963245,1.2452760551222106,0.7801234913135869,5.359630452472335,0.9565217391304348,44,51,49,51
38,77,78,1,prepare upsc,prepare civil service,12,21,1,0.3344134213571511,1.1537647755438272,0.9657483781728291,2.073466773353069,0.8333333333333334,61,75,74,61
39,79,80,0,stall speed aoa wing fully sweep back,aircraft stop use variable sweep wing like,37,42,2,0.3579716960511561,1.133162216056328,0.7859875455923027,3.6020739649797706,0.9090909090909091,33,38,53,48
40,81,82,0,slavs squat,squat make leg thick,11,20,1,0.4556446566760209,1.0434129990794434,0.8915132067074036,1.8030944795139838,0.8,32,45,62,52
41,83,84,0,expect cognizant confirmation mail,expect cognizant confirmation mail,34,34,4,1.0000000000000002,2.220446049250313e-16,1.7623691972092933e-16,4.440892098500626e-16,0.8888888888888888,100,100,100,100
42,85,86,0,make month day trading,make month day trading,22,22,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
43,87,88,0,good kid rebel worth long run,bore good kid,29,13,2,0.33328025475766565,1.1547465048592565,0.9069708420122731,2.6999419419887953,0.9,38,62,76,38
44,89,90,0,university rexnord recruit new grad from major look for,university bg foods recruit new grad from major look for,55,56,8,0.9047556154344016,0.43645019089375686,0.4265025716510361,0.693516190232405,0.9375,90,89,92,85
45,91,92,0,quick way increase instagram follower,increase number instagram follower,37,34,3,0.7086002616425326,0.7634130446324159,0.6408340178458578,1.471525258356977,0.9,76,89,89,82
46,93,94,0,darth vader fight darth maul star wars legends,quora character limit profile description,46,41,0,0.0,1.414213562373095,0.968449333482278,4.728533218283324,0.9090909090909091,30,33,17,16
47,95,96,0,stage break couple mean happens break emotionally whether male female,affect breakup boy girl,69,23,0,0.0,1.4142135623730951,0.9894606476985744,4.608379166548332,0.9230769230769231,35,52,19,22
48,97,98,1,example product make crude oil,product make crude oil,30,22,4,0.9209162584162559,0.3977027573043573,0.39033839071965426,0.5441318123151444,0.9,85,100,100,85
49,99,100,1,make friend,make friend,11,11,2,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
50,101,102,1,career launcher good rbi grade preparation,career launcher online program rbi grade,42,40,4,0.7807461747914033,0.6621991017943117,0.538455449446822,1.341605131940318,0.9230769230769231,66,70,78,73
51,103,104,1,blu ray play regular dvd player so how,play blu ray dvd regular dvd player,38,35,6,0.8420846053847769,0.5619882465234003,0.4640027731520654,1.1363114434377826,0.9285714285714286,74,77,100,88
52,105,106,0,nd always sad,aerodynamically happen propellor rotate,13,39,0,0.0,1.414213562373095,1.1028358713866384,3.1042957295837468,0.8333333333333334,23,31,23,23
53,107,108,1,well most memorable thing ever eat why,delicious dish ever eat why,38,27,3,0.3930162892208813,1.101801897601487,0.8335821668091007,2.742628059104999,0.9230769230769231,55,61,62,37
54,109,110,0,gst affect ca tax officer,can not homework,25,16,0,0.0,1.4142135623730951,1.0511323371044927,3.643525844715229,0.8571428571428572,24,40,20,20
55,111,112,0,difficult get rsi,apply program like rsi rise senior,17,34,1,0.35133772265050356,1.1390015604462502,0.8396227668103388,3.0804548074895246,0.9,24,35,31,27
56,113,114,0,israil friend,boyfriend lie true feeling friend secretly attract she,13,54,1,0.1532701486542702,1.3013299745612024,0.9804684477759054,3.6349999956842867,0.9,30,62,63,33
57,115,116,0,good rap song dance to,good rap song,22,13,3,0.7005915073985094,0.773832659690053,0.6524732043459323,1.4923953821836897,0.875,74,100,100,74
58,117,118,1,suddenly log gmail can not remember gmail password realize recovery email long alive do,can not remember gmail password recovery email recover mail,87,59,7,0.6351950886149557,0.8541720100600867,0.5922342872980284,2.928000333734229,0.9473684210526316,70,81,88,75
59,119,120,0,good way learn french,learn french gender,21,19,2,0.6471962775447706,0.8400044314826315,0.7253386020075907,1.5059535882831119,0.8571428571428572,60,77,77,75
60,121,122,0,download content kickass torrent without registration,kickass torrents trustworthy,53,28,1,0.3465085068025742,1.1432335659850317,0.8731393158701815,2.860012461591922,0.8571428571428572,47,68,47,47
61,123,124,0,normal dark ring around iris eye,cause dark ring around iris treat,32,33,4,0.7221454620807679,0.7454589699228689,0.593704853691835,1.505910692131366,0.9166666666666666,77,78,80,65
62,125,126,1,new harry potter book harry potter cursed child,bad new book jk rowling,47,23,2,0.24234229364950904,1.2309814834923318,0.9289868801286834,3.0989324422109603,0.9,34,43,52,31
63,127,128,0,always get depressed,always get depressed evening,20,28,3,1.0000000000000002,1.6653345369377348e-16,1.4273480123717877e-16,2.7755575615628914e-16,0.8571428571428572,83,100,100,83
64,129,130,0,find european family office database,find us family office database,36,30,4,0.8031785132809185,0.6274097332988734,0.5603342256264608,0.9649717602005594,0.9090909090909091,88,80,95,82
65,131,132,1,java programming learn java programming language,learn computer language like java,48,33,3,0.587103631105602,0.9087313892393045,0.7462950779496942,1.9252047474889895,0.9,42,53,76,54
66,133,134,1,good book ever make,important book ever read,19,24,2,0.519340205512404,0.9804690657920789,0.778441554701437,2.1344795926533986,0.8888888888888888,60,65,64,56
67,135,136,1,ever store energy produce lightning,possible store energy lightning,35,31,3,0.7422530812007536,0.7179789952348835,0.5984250066552425,1.3825923718929847,0.9,73,74,83,79
68,137,138,0,review performance testing,performance testing,26,19,2,0.8715102907269977,0.5069313745922662,0.4924477178861111,0.6720891046482967,0.75,84,100,100,84
69,139,140,0,cost much privacy germany come else lose gain much privacy,people genuinely enjoy salad dressing,58,37,0,0.0,1.4142135623730951,1.0297770119300362,4.262807838655077,0.9166666666666666,29,32,37,29
70,141,142,0,type immunity,different type immunity body,13,28,2,0.763074211965452,0.6883687791214067,0.5873471099622406,1.2419525925313364,0.8571428571428572,63,100,100,63
71,143,144,1,narcissistic personality disorder,narcissistic personality disorder,33,33,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
72,145,146,1,speak english fluently,learn speak english fluently,22,28,3,0.923847587563134,0.3902625076454719,0.38335361685413666,0.51360617772429,0.875,88,100,100,88
73,147,148,1,helpful quickbooks auto datum recovery support phone number recover corrupt data file,quickbooks customer support phone number usa,85,44,4,0.4202615262329936,1.0767901130368966,0.7334260589512186,3.7485089248453805,0.9411764705882353,64,70,83,56
74,149,150,1,rich gambler time reach level,rich gambler time reach level gambler,29,37,5,0.9434984445552721,0.33615935341658426,0.2781336250054949,0.6935854725787695,0.9090909090909091,88,100,100,88
75,151,152,0,fire bullet backward aircraft go fast bullet,bullet go backwards,44,19,2,0.7177439747375767,0.7513401696467765,0.5712502386568978,1.7767672364646079,0.875,51,79,68,57
76,153,154,0,prevent breast cancer,breast cancer preventable,21,25,2,0.8382671115291116,0.5687405181115346,0.5486089380698916,0.773623469841891,0.8333333333333334,57,62,91,91
77,155,156,0,log gmail account friend phone,know log gmail account by tell ip address device name,30,53,3,0.44411671997454066,1.0544034142826544,0.7208976070288293,3.498576326063659,0.9333333333333333,55,67,72,58
78,157,158,0,make money internet,different way make money online exclude sell thing,19,50,2,0.3044654050414709,1.1794359626181738,0.8740651241821952,3.306226238541333,0.9166666666666666,43,79,69,46
79,159,160,1,purpose life,what be purpose life life actually about,12,40,2,0.6523545354636734,0.8338410694326907,0.6462686791941694,1.8588070027118502,0.875,46,100,100,46
80,161,162,0,bjp government strip muslims christians indian citizenship put boat like rohingya burma,india apply burma rohingya model deport illegal bangladeshis,87,60,2,0.3074119500919989,1.1769350448584672,0.7671232211196017,4.5249072242043304,0.9285714285714286,31,43,49,44
81,163,164,0,right etiquette wish jehovah witness happy birthday,important first person wish someone happy birthday,51,50,3,0.46914005271255693,1.0303979302070079,0.7298620665784675,3.0733789471272264,0.9285714285714286,57,60,55,50
82,165,166,0,someone want open commercial fm radio station city india much cost procedure,want make travel commercial clip video hd india new zealand much cost,76,69,5,0.40221118665595523,1.093424723832459,0.729121332815296,3.958057943261709,0.9523809523809523,52,54,62,59
83,167,168,0,swiss despise asians,technical employee despise sale people much,20,43,1,0.3007744637690066,1.1825612341278513,0.8768671667083655,3.1025553156369208,0.8888888888888888,35,50,52,32
84,169,170,1,high salary income job field biotechnology,high pay job fresher mtech biotechnology,42,40,3,0.4670485569650084,1.03242572908175,0.7681760344106986,2.576265205999367,0.9166666666666666,68,65,73,68
85,171,172,1,increase height also,height increase,20,15,2,0.7883623507777794,0.6505961100747846,0.621082018959217,0.9141096372924743,0.8333333333333334,46,60,100,86
86,173,174,1,major effect cambodia earthquake effect compare kamchatca earthquake,major effect cambodia earthquake effect compare valparaiso earthquake,68,69,5,0.9398158136965483,0.34694145414882854,0.3420216528901611,0.4661201740956262,0.9090909090909091,91,90,89,85
87,175,176,0,difference sincerity fairness,what be difference honest sincere,29,33,1,0.20744093103142447,1.2590147488957988,0.9917556552013028,2.6792027760235757,0.8333333333333334,58,67,71,71
88,177,178,1,good game laptop inr,good game laptop,20,16,3,0.773929056976814,0.6724149656621068,0.63922138756332,1.0115168709194406,0.875,89,100,100,89
89,179,180,0,review next warrior proving grounds part,review next warrior proving grounds part,40,40,6,1.0,2.3551386880256624e-16,1.798345806312823e-16,5.551115123125783e-16,0.8888888888888888,100,100,100,100
90,181,182,0,good reference book physics class,book choose reference physics chemistry class cbse board,33,56,4,0.6594823740068403,0.8252486001116994,0.6080261901718722,2.2845255735069108,0.9285714285714286,58,70,92,63
91,183,184,0,national institute technology kurukshetra social life nitk surathkal,national institute technology karnataka nitk surathkal graduating batch lesson would want give junior leave,68,107,5,0.5253003227464137,0.974371261125436,0.6612401259137488,3.4747256231324437,0.9285714285714286,56,72,79,59
92,185,186,1,well romantic movie english,well romantic movie ever see,27,28,3,0.7216887272034608,0.7460714078378013,0.6196610627323819,1.4093899862644572,0.9,80,81,83,76
93,187,188,1,cause nightmare,cause nightmare seem real,15,25,2,0.6900184409814163,0.7873773669830545,0.6704569748694845,1.440848263351557,0.8571428571428572,75,100,100,75
94,189,190,0,abstract expressionism painting,major influence abstract expressionism,31,38,2,0.6406971248770408,0.8477061697580822,0.7113185158250791,1.5297577336690216,0.8333333333333334,64,83,83,75
95,191,192,1,printing work,printing work,13,13,2,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
96,193,194,0,like attend caltech jeremy ehrhardt,notable folk attend caltech,35,27,2,0.6645613990346229,0.8190709382774819,0.660111179773836,1.723958903551745,0.8333333333333334,55,63,68,52
97,195,196,0,harry become horcrux,horcrux,20,7,1,0.6879333617605111,0.7900210607819123,0.6772400437641042,1.3256138670089024,0.8,52,100,100,52
98,197,198,0,good associate product manager apm program someone early join learn product management rewarding career company,general requirement become product manager program manager product base software company,111,88,4,0.4781474156789196,1.0216188959891848,0.654509957935291,4.03749411104049,0.9545454545454546,55,58,60,64
99,199,200,0,number skype always busy,could get skype work android phone,24,34,1,0.3335764907575897,1.1544899386676442,0.8333404397263231,3.213056185614521,0.9,38,42,34,41
100,201,202,1,really war india pakistan uri attack effect,nuclear war india pakistan,43,26,3,0.4395466572039791,1.0587288064429161,0.8181942614839615,2.6097350924872935,0.9166666666666666,61,81,82,52
101,203,204,0,ronald reagan mannerism speech,ronald reagan react,30,19,2,0.5950431766126381,0.8999520247072751,0.743727327617794,1.7241513321405988,0.8333333333333334,65,79,81,61
102,205,206,0,war strategy union confederates civil war,could confederates possibly defeat union force gettysburg american civil war,41,76,4,0.626822728549071,0.8639181343749291,0.6468275679418661,2.1538322002138885,0.9166666666666666,41,51,86,58
103,207,208,0,good fiction novel,good fiction novel,18,18,3,1.0000000000000002,1.6653345369377348e-16,1.4273480123717877e-16,2.7755575615628914e-16,0.8571428571428572,100,100,100,100
104,209,210,1,recover email forget password,forgot email password,29,21,2,0.47386873703661525,1.0257984821234478,0.8623529665517284,1.8216478509085272,0.875,68,67,80,80
105,211,212,0,recent demonetisation result high gdp much,demonetisation could affect gdp india short run long run,42,56,2,0.3449593426614287,1.1445878361563795,0.8116658992246303,3.610751746731964,0.9230769230769231,49,57,60,57
106,213,214,0,ever hear travel hacking,whatsapp hack,24,13,0,0.0,1.4142135623730951,1.0727868701912866,3.3793842887007273,0.8571428571428572,49,54,49,49
107,215,216,1,what be difference love pity,difference love pity,28,20,3,0.8537503815432117,0.5408319858454903,0.4675654049991585,0.9810532301047942,0.8888888888888888,83,100,100,83
108,217,218,0,competitive hiring process republic bank,competitive hiring process bank,40,31,4,0.8642630563068161,0.5210315608352035,0.5047242553232604,0.7721587326874486,0.8888888888888888,87,87,100,87
109,219,220,0,google help spam rank adjustment search result,distribution traffic google organic search result eg vs ranking first page vs second page,46,89,3,0.2513816466351359,1.2236162416091607,0.8456158020115455,4.173104309841941,0.9375,36,52,61,55
110,221,222,0,watch gonulcelen english subtitle,watch sarrainodu subtitle,33,25,2,0.7099263694618622,0.7616739860834659,0.6516133254533037,1.3863777139224616,0.8571428571428572,59,48,72,62
111,223,224,0,usa powerful country world,usa powerful country world,26,26,4,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
112,225,226,0,obtain instant ulcer pain relief,well low back pain heat ice,32,27,1,0.17517868044712134,1.2843841477944817,0.8963569263197817,3.857701585168485,0.9,44,48,44,44
113,227,228,1,think china food,think chinese food,16,18,2,0.6117620439438421,0.8811787061160272,0.7850409797313314,1.2461748770636614,0.0,88,81,88,88
114,229,230,0,take advantage someone mean,bad take advantage someone materialistic,27,40,3,0.7812684272781603,0.6614099677534949,0.5895734967220527,0.9753419758080386,0.8888888888888888,78,93,90,78
115,231,232,0,cry happy sad,cry,13,3,1,0.5970470620218924,0.8977226052385088,0.7559894179687671,1.5357887750429766,0.75,38,100,100,38
116,233,234,0,girl like stick tongue take picture,teen girl and woman general allow boyfriend take naked picture day digital age,35,78,3,0.27815505896788895,1.2015364672219575,0.8137182821380299,4.311298744669143,0.9444444444444444,39,46,65,42
117,235,236,0,find end novel depress,winston julia differ novel similar,22,34,1,0.3032590069863119,1.18045837962521,0.9127331647941277,2.671441818967311,0.8571428571428572,43,49,46,39
118,237,238,0,mind blow computer tool exist people know about,mind blow technology exist people know about,47,44,6,0.7827380068386584,0.6591843340998659,0.5481479650112432,1.2893411446981888,0.9333333333333333,84,80,86,81
119,239,240,0,toothbrush wet dry apply toothpaste,cheap toothpaste,35,16,1,0.3554933831451385,1.1353471864190807,0.8649017496556952,2.7048498191984702,0.8571428571428572,59,81,77,51
120,241,242,1,question mark need imrovement,ask question without getting mark,29,33,2,0.3733696844245938,1.1194912376391397,0.8755810665249691,2.5000222707960305,0.9,42,45,62,52
121,243,244,0,difference neutral state buffer state,every state usa declare war other would win,37,43,1,0.26463675960319444,1.212735123921795,0.8277918842036607,3.948544868572905,0.9230769230769231,32,35,28,35
122,245,246,1,mineral hold high electrical charge,mineral hold great electrical charge,35,36,4,0.8537297755078346,0.5408700851261149,0.48188744037192716,0.7730430965403288,0.8888888888888888,90,89,92,90
123,247,248,0,great mystery universe,great mystery time,22,18,2,0.7611093103409141,0.6912173169981869,0.6169775997109773,1.0440051134994683,0.8571428571428572,80,83,84,80
124,249,250,0,alternative machine learning,over sample multi class imbalance datum set,28,43,0,0.0,1.4142135623730951,1.0122852629094297,3.949010452089901,0.8888888888888888,31,32,25,25
125,251,252,1,china block sanction un jaish mohammad jem chief masood azhar,china support masood azhar,61,26,3,0.47380390255113547,1.0258616840967056,0.7048937901382956,3.312365563688025,0.875,48,62,82,48
126,253,254,0,mean future budget,mean future,18,11,2,0.7468643725822451,0.7115274097570028,0.673673748552572,1.0206475834432909,0.8333333333333334,76,100,100,76
127,255,256,1,excessive amount vitamin cause miscarriage,vitamin cause miscarriage,42,25,3,0.7600882032027511,0.692693000971208,0.5895477448406061,1.3250931598011133,0.875,75,100,100,75
128,257,258,0,like work asahi india glass pay scale one two year,get call letter get letter intent asahi india glass recruitment,50,63,3,0.3636113282275974,1.1281743409353029,0.8215661715802451,3.4173919046997194,0.9411764705882353,46,58,57,51
129,259,260,0,access torbox india,access googlecom india,19,22,2,0.7040112600730483,0.7694007277445891,0.7231572012630542,1.11540300400753,0.8333333333333334,73,63,77,59
130,261,262,0,yakshini mantra,yantra mantra,15,13,1,0.689836192199166,0.7876087960413266,0.7424652419804788,1.0341292958816921,0.75,71,67,71,71
131,263,264,0,six party talk successful,course well nicmar,25,18,0,0.0,1.4142135623730951,1.0700774275100922,3.399240816226996,0.8571428571428572,19,22,28,28
132,265,266,0,register domain site email,register an domain,26,18,2,0.6221722978329639,0.8692844208508927,0.7341364889786358,1.4904817285593956,0.875,68,83,91,68
133,267,268,0,normal old man attract young woman,attract old man,34,15,3,0.6996148514669428,0.7750937343741815,0.611512705990144,1.7495885263588882,0.8888888888888888,41,67,100,61
134,269,270,0,strong structure strong shape compression,strong kevlar cord,41,18,1,0.6936384663278636,0.7827662916504982,0.627027930298117,1.5499955198273987,0.8,41,61,50,41
135,271,272,1,rohingya muslims,rohingya people,16,15,1,0.6494819925891901,0.8372789348966209,0.7467858756249738,1.284280238260886,0.8,65,67,70,65
136,273,274,1,matter whether human selfish evil,matter whether humanity evil not,33,32,3,0.6253024452275665,0.8656760996728897,0.6951657584237497,1.7877527909268367,0.9090909090909091,80,78,80,80
137,275,276,0,exocytosis endocytosis example active passive transport,example passive transport cell,55,30,3,0.6040540033427851,0.8898831346387175,0.691496575946157,2.082208928482375,0.8571428571428572,59,77,91,66
138,277,278,0,get hair bald head,shave head year get bald grew hair hair intially have loose hair,18,64,4,0.7786173757266603,0.6654060779303713,0.4915122579033022,1.7138772887339946,0.9090909090909091,37,61,100,44
139,279,280,0,ideal life retirement,what be life retirement,21,23,2,0.6388358672064314,0.8498989737534323,0.7233845815773821,1.486034183948665,0.875,77,85,83,77
140,281,282,0,stance pakistan,stance pakistan possession weapon mass destruction north korea support dprk dprk,15,80,2,0.5789329207628434,0.9176786793177193,0.688690991575037,2.2171981026082928,0.8888888888888888,32,100,100,32
141,283,284,0,good website escort,find good escort,19,16,2,0.7341861839006315,0.7291279943869506,0.6499127686311914,1.0743812564031714,0.8571428571428572,63,56,81,63
142,285,286,0,one well polo diesel grand petrol,good diet grow decathlete,33,25,0,0.0,1.4142135623730951,1.0248602888489438,4.036758363219846,0.875,41,49,28,28
143,287,288,1,black hole mass,black hole finite mass,15,22,3,1.0000000000000002,0.0,0.0,0.0,0.0,81,73,100,81
144,289,290,1,morgan freeman correct say way stop racism stop talk it,view morgan freeman quote racism,55,32,3,0.5496506926238682,0.9490514289290459,0.6851919905837658,2.8567498473593087,0.9090909090909091,55,62,79,53
145,291,292,0,fab currently offer new employee stock option rsus,uber currently offer new employee stock option rsus,50,51,7,0.8480718686354295,0.5512315872019139,0.49179164373906326,0.8344956814599599,0.9375,95,96,96,91
146,293,294,0,would review site waveclue,good pay review site there,26,26,2,0.44239182983012404,1.0560380392484694,0.8402683872501823,2.282362043828641,0.9,65,68,59,54
147,295,296,0,many way distribute identical look pencil student student get least one pencil,many way apple distribute among child every child get least apple,78,65,5,0.26858265525630204,1.2094770314013392,0.8916608800821932,3.440526033982835,0.95,53,57,71,41
148,297,298,0,much would cost hire jerry seinfeld hour,much average would cost video tape hour presentation,40,52,4,0.44461375508731543,1.0539319189707508,0.7863842238154136,2.648830246526843,0.9285714285714286,54,62,67,59
149,299,300,0,day late rabie vaccine possible non bite exposure,take rabie injection day dog bite,49,33,3,0.5154760735474379,0.9844022820499374,0.7063709172962701,2.870862691923849,0.9285714285714286,49,58,60,54
150,301,302,0,many year britain rule india,standard amount time give international relocation,28,50,0,0.0,1.4142135623730951,0.9820542236789344,4.383303312871841,0.9090909090909091,33,43,28,28
151,303,304,0,stop afraid working,stop afraid everything,19,22,2,0.6102546039095991,0.882887757407929,0.7864828546096191,1.2876467201021708,0.8571428571428572,78,68,78,54
152,305,306,1,red keep key oitnb,red keep key season orange new black,18,36,3,0.558817089450754,0.9393432924647368,0.7319329719264375,2.2662895168608377,0.9166666666666666,59,78,80,56
153,307,308,0,age someone lose virginity,age how lose virginity,26,22,3,0.7817134186770179,0.6607368331234182,0.5905138429860267,1.0222272940539072,0.8888888888888888,83,77,90,75
154,309,310,0,forgetful you,forget wife,13,11,0,0.0,1.414213562373095,1.1324454559661477,2.8020910367219822,0.8,58,64,58,58
155,311,312,0,could snoke secretly darth maul,could snoke darth plagueis kill emperor,31,39,3,0.6460792267055735,0.8413331959389534,0.6912543743390342,1.6856503252749364,0.8888888888888888,54,68,71,63
156,313,314,1,monetize youtube video upload copyright content chance google may block account,upload movie youtube monetize they issue copyright,79,50,4,0.5583032340071848,0.9398901701718293,0.6387479172063489,3.2036299289587005,0.9375,42,52,80,54
157,315,316,0,would switch canon leica lux,tripod get canon,28,16,1,0.41597205207114973,1.0807663465604862,0.811906772274368,2.606571272882222,0.8571428571428572,45,56,48,45
158,317,318,1,quora website look like member quora moderation,quora look moderator,47,20,2,0.4097165161516011,1.0865389858154182,0.8686085321348863,2.536011310661291,0.9,57,70,67,57
159,319,320,1,nobody answer question quora,one answer question quora,28,25,3,0.6671242475172463,0.8159359686675833,0.7286706111330119,1.370220517040278,0.8888888888888888,87,92,91,87
160,321,322,1,funniest joke know,funniest joke time,18,18,2,0.8173571687583774,0.604388668394143,0.5384499067978127,0.8560676184443733,0.8571428571428572,78,78,84,78
