is_duplicate,question1_len,question2_len,common_words,cosine_distance,euclidean_distances,minkowski_distances,manhattan_distances,jaccard_distances,fuzz_ratio,fuzz_partial_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
0,15,25,2,0.7600044635286327,0.692813880448952,0.657545236415405,0.9892690611962269,0.8333333333333334,75,100,100,75
0,35,24,2,0.5658094685320953,0.9318696598429469,0.7517157563439152,1.955754278238349,0.875,24,29,70,58
0,26,25,4,0.7738536280958846,0.6725271323955866,0.6002101486428433,1.0354250773316072,0.9090909090909091,94,92,94,82
1,20,48,3,0.5305619419880738,0.9689561992287641,0.6980290473284182,2.8618408681342506,0.9285714285714286,53,90,89,53
0,33,35,5,0.6432902851664948,0.8446415983522305,0.6841063221344021,1.8922292610699198,0.9285714285714286,71,67,80,74
1,42,26,4,0.6980677805100997,0.7770871501831702,0.6146448493343708,1.7674269675529595,0.9090909090909091,68,92,89,62
1,44,40,5,0.7733827864159568,0.6732268764451449,0.541845695415139,1.3568017890445063,0.9230769230769231,88,82,89,88
0,92,36,0,0.0,1.4142135623730951,0.9396740020495121,5.210482444812771,0.9230769230769231,11,36,26,23
0,25,19,3,0.7543689157129698,0.700900969163305,0.6634986870921684,1.0687679876957892,0.875,86,100,100,86
0,36,55,4,0.5578189137718558,0.9404053234942306,0.6692194502527575,2.8550402746432684,0.9375,22,37,71,48
0,55,41,4,0.6287362654485351,0.8617003360234521,0.648522597053727,2.2026413173315635,0.9333333333333333,62,59,71,62
0,59,90,3,0.22464377326963245,1.2452760551222106,0.7801234913135869,5.359630452472335,0.9565217391304348,44,51,49,51
1,12,21,1,0.3344134213571511,1.1537647755438272,0.9657483781728291,2.073466773353069,0.8333333333333334,61,75,74,61
0,37,42,2,0.3579716960511561,1.133162216056328,0.7859875455923027,3.6020739649797706,0.9090909090909091,33,38,53,48
0,11,20,1,0.4556446566760209,1.0434129990794434,0.8915132067074036,1.8030944795139838,0.8,32,45,62,52
0,34,34,4,1.0000000000000002,2.220446049250313e-16,1.7623691972092933e-16,4.440892098500626e-16,0.8888888888888888,100,100,100,100
0,22,22,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
0,29,13,2,0.33328025475766565,1.1547465048592565,0.9069708420122731,2.6999419419887953,0.9,38,62,76,38
0,55,56,8,0.9047556154344016,0.43645019089375686,0.4265025716510361,0.693516190232405,0.9375,90,89,92,85
0,37,34,3,0.7086002616425326,0.7634130446324159,0.6408340178458578,1.471525258356977,0.9,76,89,89,82
0,46,41,0,0.0,1.414213562373095,0.968449333482278,4.728533218283324,0.9090909090909091,30,33,17,16
0,69,23,0,0.0,1.4142135623730951,0.9894606476985744,4.608379166548332,0.9230769230769231,35,52,19,22
1,30,22,4,0.9209162584162559,0.3977027573043573,0.39033839071965426,0.5441318123151444,0.9,85,100,100,85
1,11,11,2,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
1,42,40,4,0.7807461747914033,0.6621991017943117,0.538455449446822,1.341605131940318,0.9230769230769231,66,70,78,73
1,38,35,6,0.8420846053847769,0.5619882465234003,0.4640027731520654,1.1363114434377826,0.9285714285714286,74,77,100,88
0,13,39,0,0.0,1.414213562373095,1.1028358713866384,3.1042957295837468,0.8333333333333334,23,31,23,23
1,38,27,3,0.3930162892208813,1.101801897601487,0.8335821668091007,2.742628059104999,0.9230769230769231,55,61,62,37
0,25,16,0,0.0,1.4142135623730951,1.0511323371044927,3.643525844715229,0.8571428571428572,24,40,20,20
0,17,34,1,0.35133772265050356,1.1390015604462502,0.8396227668103388,3.0804548074895246,0.9,24,35,31,27
0,13,54,1,0.1532701486542702,1.3013299745612024,0.9804684477759054,3.6349999956842867,0.9,30,62,63,33
0,22,13,3,0.7005915073985094,0.773832659690053,0.6524732043459323,1.4923953821836897,0.875,74,100,100,74
1,87,59,7,0.6351950886149557,0.8541720100600867,0.5922342872980284,2.928000333734229,0.9473684210526316,70,81,88,75
0,21,19,2,0.6471962775447706,0.8400044314826315,0.7253386020075907,1.5059535882831119,0.8571428571428572,60,77,77,75
0,53,28,1,0.3465085068025742,1.1432335659850317,0.8731393158701815,2.860012461591922,0.8571428571428572,47,68,47,47
0,32,33,4,0.7221454620807679,0.7454589699228689,0.593704853691835,1.505910692131366,0.9166666666666666,77,78,80,65
1,47,23,2,0.24234229364950904,1.2309814834923318,0.9289868801286834,3.0989324422109603,0.9,34,43,52,31
0,20,28,3,1.0000000000000002,1.6653345369377348e-16,1.4273480123717877e-16,2.7755575615628914e-16,0.8571428571428572,83,100,100,83
0,36,30,4,0.8031785132809185,0.6274097332988734,0.5603342256264608,0.9649717602005594,0.9090909090909091,88,80,95,82
1,48,33,3,0.587103631105602,0.9087313892393045,0.7462950779496942,1.9252047474889895,0.9,42,53,76,54
1,19,24,2,0.519340205512404,0.9804690657920789,0.778441554701437,2.1344795926533986,0.8888888888888888,60,65,64,56
1,35,31,3,0.7422530812007536,0.7179789952348835,0.5984250066552425,1.3825923718929847,0.9,73,74,83,79
0,26,19,2,0.8715102907269977,0.5069313745922662,0.4924477178861111,0.6720891046482967,0.75,84,100,100,84
0,58,37,0,0.0,1.4142135623730951,1.0297770119300362,4.262807838655077,0.9166666666666666,29,32,37,29
0,13,28,2,0.763074211965452,0.6883687791214067,0.5873471099622406,1.2419525925313364,0.8571428571428572,63,100,100,63
1,33,33,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1,22,28,3,0.923847587563134,0.3902625076454719,0.38335361685413666,0.51360617772429,0.875,88,100,100,88
1,85,44,4,0.4202615262329936,1.0767901130368966,0.7334260589512186,3.7485089248453805,0.9411764705882353,64,70,83,56
1,29,37,5,0.9434984445552721,0.33615935341658426,0.2781336250054949,0.6935854725787695,0.9090909090909091,88,100,100,88
0,44,19,2,0.7177439747375767,0.7513401696467765,0.5712502386568978,1.7767672364646079,0.875,51,79,68,57
0,21,25,2,0.8382671115291116,0.5687405181115346,0.5486089380698916,0.773623469841891,0.8333333333333334,57,62,91,91
0,30,53,3,0.44411671997454066,1.0544034142826544,0.7208976070288293,3.498576326063659,0.9333333333333333,55,67,72,58
0,19,50,2,0.3044654050414709,1.1794359626181738,0.8740651241821952,3.306226238541333,0.9166666666666666,43,79,69,46
1,12,40,2,0.6523545354636734,0.8338410694326907,0.6462686791941694,1.8588070027118502,0.875,46,100,100,46
0,87,60,2,0.3074119500919989,1.1769350448584672,0.7671232211196017,4.5249072242043304,0.9285714285714286,31,43,49,44
0,51,50,3,0.46914005271255693,1.0303979302070079,0.7298620665784675,3.0733789471272264,0.9285714285714286,57,60,55,50
0,76,69,5,0.40221118665595523,1.093424723832459,0.729121332815296,3.958057943261709,0.9523809523809523,52,54,62,59
0,20,43,1,0.3007744637690066,1.1825612341278513,0.8768671667083655,3.1025553156369208,0.8888888888888888,35,50,52,32
1,42,40,3,0.4670485569650084,1.03242572908175,0.7681760344106986,2.576265205999367,0.9166666666666666,68,65,73,68
1,20,15,2,0.7883623507777794,0.6505961100747846,0.621082018959217,0.9141096372924743,0.8333333333333334,46,60,100,86
1,68,69,5,0.9398158136965483,0.34694145414882854,0.3420216528901611,0.4661201740956262,0.9090909090909091,91,90,89,85
0,29,33,1,0.20744093103142447,1.2590147488957988,0.9917556552013028,2.6792027760235757,0.8333333333333334,58,67,71,71
1,20,16,3,0.773929056976814,0.6724149656621068,0.63922138756332,1.0115168709194406,0.875,89,100,100,89
0,40,40,6,1.0,2.3551386880256624e-16,1.798345806312823e-16,5.551115123125783e-16,0.8888888888888888,100,100,100,100
0,33,56,4,0.6594823740068403,0.8252486001116994,0.6080261901718722,2.2845255735069108,0.9285714285714286,58,70,92,63
0,68,107,5,0.5253003227464137,0.974371261125436,0.6612401259137488,3.4747256231324437,0.9285714285714286,56,72,79,59
1,27,28,3,0.7216887272034608,0.7460714078378013,0.6196610627323819,1.4093899862644572,0.9,80,81,83,76
1,15,25,2,0.6900184409814163,0.7873773669830545,0.6704569748694845,1.440848263351557,0.8571428571428572,75,100,100,75
0,31,38,2,0.6406971248770408,0.8477061697580822,0.7113185158250791,1.5297577336690216,0.8333333333333334,64,83,83,75
1,13,13,2,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
0,35,27,2,0.6645613990346229,0.8190709382774819,0.660111179773836,1.723958903551745,0.8333333333333334,55,63,68,52
0,20,7,1,0.6879333617605111,0.7900210607819123,0.6772400437641042,1.3256138670089024,0.8,52,100,100,52
0,111,88,4,0.4781474156789196,1.0216188959891848,0.654509957935291,4.03749411104049,0.9545454545454546,55,58,60,64
0,24,34,1,0.3335764907575897,1.1544899386676442,0.8333404397263231,3.213056185614521,0.9,38,42,34,41
1,43,26,3,0.4395466572039791,1.0587288064429161,0.8181942614839615,2.6097350924872935,0.9166666666666666,61,81,82,52
0,30,19,2,0.5950431766126381,0.8999520247072751,0.743727327617794,1.7241513321405988,0.8333333333333334,65,79,81,61
0,41,76,4,0.626822728549071,0.8639181343749291,0.6468275679418661,2.1538322002138885,0.9166666666666666,41,51,86,58
0,18,18,3,1.0000000000000002,1.6653345369377348e-16,1.4273480123717877e-16,2.7755575615628914e-16,0.8571428571428572,100,100,100,100
1,29,21,2,0.47386873703661525,1.0257984821234478,0.8623529665517284,1.8216478509085272,0.875,68,67,80,80
0,42,56,2,0.3449593426614287,1.1445878361563795,0.8116658992246303,3.610751746731964,0.9230769230769231,49,57,60,57
0,24,13,0,0.0,1.4142135623730951,1.0727868701912866,3.3793842887007273,0.8571428571428572,49,54,49,49
1,28,20,3,0.8537503815432117,0.5408319858454903,0.4675654049991585,0.9810532301047942,0.8888888888888888,83,100,100,83
0,40,31,4,0.8642630563068161,0.5210315608352035,0.5047242553232604,0.7721587326874486,0.8888888888888888,87,87,100,87
0,46,89,3,0.2513816466351359,1.2236162416091607,0.8456158020115455,4.173104309841941,0.9375,36,52,61,55
0,33,25,2,0.7099263694618622,0.7616739860834659,0.6516133254533037,1.3863777139224616,0.8571428571428572,59,48,72,62
0,26,26,4,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
0,32,27,1,0.17517868044712134,1.2843841477944817,0.8963569263197817,3.857701585168485,0.9,44,48,44,44
1,16,18,2,0.6117620439438421,0.8811787061160272,0.7850409797313314,1.2461748770636614,0.0,88,81,88,88
0,27,40,3,0.7812684272781603,0.6614099677534949,0.5895734967220527,0.9753419758080386,0.8888888888888888,78,93,90,78
0,13,3,1,0.5970470620218924,0.8977226052385088,0.7559894179687671,1.5357887750429766,0.75,38,100,100,38
0,35,78,3,0.27815505896788895,1.2015364672219575,0.8137182821380299,4.311298744669143,0.9444444444444444,39,46,65,42
0,22,34,1,0.3032590069863119,1.18045837962521,0.9127331647941277,2.671441818967311,0.8571428571428572,43,49,46,39
0,47,44,6,0.7827380068386584,0.6591843340998659,0.5481479650112432,1.2893411446981888,0.9333333333333333,84,80,86,81
0,35,16,1,0.3554933831451385,1.1353471864190807,0.8649017496556952,2.7048498191984702,0.8571428571428572,59,81,77,51
1,29,33,2,0.3733696844245938,1.1194912376391397,0.8755810665249691,2.5000222707960305,0.9,42,45,62,52
0,37,43,1,0.26463675960319444,1.212735123921795,0.8277918842036607,3.948544868572905,0.9230769230769231,32,35,28,35
1,35,36,4,0.8537297755078346,0.5408700851261149,0.48188744037192716,0.7730430965403288,0.8888888888888888,90,89,92,90
0,22,18,2,0.7611093103409141,0.6912173169981869,0.6169775997109773,1.0440051134994683,0.8571428571428572,80,83,84,80
0,28,43,0,0.0,1.4142135623730951,1.0122852629094297,3.949010452089901,0.8888888888888888,31,32,25,25
1,61,26,3,0.47380390255113547,1.0258616840967056,0.7048937901382956,3.312365563688025,0.875,48,62,82,48
0,18,11,2,0.7468643725822451,0.7115274097570028,0.673673748552572,1.0206475834432909,0.8333333333333334,76,100,100,76
1,42,25,3,0.7600882032027511,0.692693000971208,0.5895477448406061,1.3250931598011133,0.875,75,100,100,75
0,50,63,3,0.3636113282275974,1.1281743409353029,0.8215661715802451,3.4173919046997194,0.9411764705882353,46,58,57,51
0,19,22,2,0.7040112600730483,0.7694007277445891,0.7231572012630542,1.11540300400753,0.8333333333333334,73,63,77,59
0,15,13,1,0.689836192199166,0.7876087960413266,0.7424652419804788,1.0341292958816921,0.75,71,67,71,71
0,25,18,0,0.0,1.4142135623730951,1.0700774275100922,3.399240816226996,0.8571428571428572,19,22,28,28
0,26,18,2,0.6221722978329639,0.8692844208508927,0.7341364889786358,1.4904817285593956,0.875,68,83,91,68
0,34,15,3,0.6996148514669428,0.7750937343741815,0.611512705990144,1.7495885263588882,0.8888888888888888,41,67,100,61
0,41,18,1,0.6936384663278636,0.7827662916504982,0.627027930298117,1.5499955198273987,0.8,41,61,50,41
1,16,15,1,0.6494819925891901,0.8372789348966209,0.7467858756249738,1.284280238260886,0.8,65,67,70,65
1,33,32,3,0.6253024452275665,0.8656760996728897,0.6951657584237497,1.7877527909268367,0.9090909090909091,80,78,80,80
0,55,30,3,0.6040540033427851,0.8898831346387175,0.691496575946157,2.082208928482375,0.8571428571428572,59,77,91,66
0,18,64,4,0.7786173757266603,0.6654060779303713,0.4915122579033022,1.7138772887339946,0.9090909090909091,37,61,100,44
0,21,23,2,0.6388358672064314,0.8498989737534323,0.7233845815773821,1.486034183948665,0.875,77,85,83,77
0,15,80,2,0.5789329207628434,0.9176786793177193,0.688690991575037,2.2171981026082928,0.8888888888888888,32,100,100,32
0,19,16,2,0.7341861839006315,0.7291279943869506,0.6499127686311914,1.0743812564031714,0.8571428571428572,63,56,81,63
0,33,25,0,0.0,1.4142135623730951,1.0248602888489438,4.036758363219846,0.875,41,49,28,28
1,15,22,3,1.0000000000000002,0.0,0.0,0.0,0.0,81,73,100,81
1,55,32,3,0.5496506926238682,0.9490514289290459,0.6851919905837658,2.8567498473593087,0.9090909090909091,55,62,79,53
0,50,51,7,0.8480718686354295,0.5512315872019139,0.49179164373906326,0.8344956814599599,0.9375,95,96,96,91
0,26,26,2,0.44239182983012404,1.0560380392484694,0.8402683872501823,2.282362043828641,0.9,65,68,59,54
0,78,65,5,0.26858265525630204,1.2094770314013392,0.8916608800821932,3.440526033982835,0.95,53,57,71,41
0,40,52,4,0.44461375508731543,1.0539319189707508,0.7863842238154136,2.648830246526843,0.9285714285714286,54,62,67,59
0,49,33,3,0.5154760735474379,0.9844022820499374,0.7063709172962701,2.870862691923849,0.9285714285714286,49,58,60,54
0,28,50,0,0.0,1.4142135623730951,0.9820542236789344,4.383303312871841,0.9090909090909091,33,43,28,28
0,19,22,2,0.6102546039095991,0.882887757407929,0.7864828546096191,1.2876467201021708,0.8571428571428572,78,68,78,54
1,18,36,3,0.558817089450754,0.9393432924647368,0.7319329719264375,2.2662895168608377,0.9166666666666666,59,78,80,56
0,26,22,3,0.7817134186770179,0.6607368331234182,0.5905138429860267,1.0222272940539072,0.8888888888888888,83,77,90,75
0,13,11,0,0.0,1.414213562373095,1.1324454559661477,2.8020910367219822,0.8,58,64,58,58
0,31,39,3,0.6460792267055735,0.8413331959389534,0.6912543743390342,1.6856503252749364,0.8888888888888888,54,68,71,63
1,79,50,4,0.5583032340071848,0.9398901701718293,0.6387479172063489,3.2036299289587005,0.9375,42,52,80,54
0,28,16,1,0.41597205207114973,1.0807663465604862,0.811906772274368,2.606571272882222,0.8571428571428572,45,56,48,45
1,47,20,2,0.4097165161516011,1.0865389858154182,0.8686085321348863,2.536011310661291,0.9,57,70,67,57
1,28,25,3,0.6671242475172463,0.8159359686675833,0.7286706111330119,1.370220517040278,0.8888888888888888,87,92,91,87
1,18,18,2,0.8173571687583774,0.604388668394143,0.5384499067978127,0.8560676184443733,0.8571428571428572,78,78,84,78
0,122,91,4,0.2821759001351902,1.198185377865053,0.7223750802337913,5.730746538494994,0.9545454545454546,28,32,40,41
0,25,30,2,0.5965500682928038,0.8982760507852765,0.7634991720258764,1.564252024487765,0.8571428571428572,65,68,72,58
1,27,20,3,0.8509106872588559,0.5460573463312147,0.5277523389808507,0.7778712174791352,0.875,85,100,100,85
0,36,49,4,0.724142624068961,0.742775034490308,0.5935304896596468,1.689646821442487,0.9090909090909091,52,61,86,73
1,23,13,2,0.6283260554508177,0.8621762517596764,0.7235038427972957,1.580611843722366,0.8333333333333334,72,100,100,72
0,51,29,2,0.38577395529700337,1.1083555789574,0.8252801798527459,2.829240911051138,0.875,52,76,79,57
0,53,27,2,0.445413915711822,1.0531724306002108,0.794239463812063,2.6223452234562368,0.9,48,67,76,55
1,22,22,3,1.0,0.0,0.0,0.0,0.0,73,73,100,100
0,51,98,2,0.21918506054217332,1.2496519030976798,0.8016668482038072,4.957462699281667,0.9411764705882353,15,29,52,44
0,27,70,2,0.1968804605969182,1.267374876982404,0.8979617992389541,3.9263042077142742,0.9,41,59,77,41
0,22,22,1,0.29611650638818904,1.1864935681341142,0.9488648137504939,2.4244966928073515,0.8333333333333334,45,51,55,36
0,24,24,1,0.5585182034813567,0.9396614246830006,0.7687897127231806,1.887511093011454,0.8571428571428572,58,65,62,50
1,39,75,3,0.3238010856176728,1.1629264072866583,0.9123558518891064,3.167144239105192,0.9166666666666666,32,44,60,44
0,26,26,4,1.0,0.0,0.0,0.0,0.0,69,69,100,100
1,20,20,4,1.0000000000000002,5.551115123125783e-17,5.551115123125794e-17,5.551115123125783e-17,0.33333333333333337,100,100,100,100
1,17,17,2,0.4762934814639721,1.0234319894707493,0.9104335592945225,1.552343946176975,0.8571428571428572,71,71,71,71
0,35,42,5,0.7920145525667801,0.644958056672246,0.5220938209086935,1.4155460226148113,0.9,62,81,81,62
1,26,31,4,0.9131182474965407,0.41684949922834136,0.4083788479740199,0.57871884627457,0.9,91,81,100,91
1,11,25,2,0.7196938346244661,0.7487404962676107,0.6377234682398357,1.3667184131918457,0.8333333333333334,61,73,100,61
1,25,25,2,0.5849399610381643,0.9111092568532446,0.7739038372024067,1.6767167044512221,0.875,76,78,78,68
0,18,21,2,0.7503228400367472,0.7066500689354709,0.6297400935473793,1.030903215995673,0.8571428571428572,82,89,84,82
1,39,57,5,0.6419177686527037,0.8462650073674279,0.6405125430144893,2.196772407250505,0.9285714285714286,71,69,85,71
0,24,32,2,0.6403680865660878,0.8480942323043029,0.702256224841804,1.6763606193934741,0.875,68,79,88,82
0,39,52,2,0.33915909996868326,1.1496442058578964,0.7802154940666738,3.8824903252672796,0.9375,51,56,44,40
1,63,63,5,0.9604948929675403,0.28108755586990936,0.27848827246731583,0.3512825160631363,0.9090909090909091,92,92,92,92
0,37,57,4,0.6528495352179982,0.8332472199557609,0.658690046672803,1.892376193714671,0.9230769230769231,49,57,86,66
0,60,29,2,0.4184051553370673,1.0785127209847205,0.7904979021994504,3.232535945096008,0.9285714285714286,38,52,57,45
1,41,34,3,0.5169443581313087,0.9829096009996967,0.7841690612668549,2.188889363984466,0.9,64,74,75,61
1,39,52,5,0.7969696762870386,0.6372288815064199,0.5340567581750922,1.1545630143442462,0.8571428571428572,53,59,92,79
1,29,29,3,0.8645266326799526,0.5205254409153265,0.4692140205794994,0.8106994662285236,0.8888888888888888,86,86,91,83
1,15,27,2,0.7781946134576571,0.6660411196650596,0.5681400564681053,1.1945607722060454,0.8571428571428572,71,100,100,71
0,17,19,2,0.7149077542185296,0.7551056161643489,0.6727226255013895,1.0678806034037147,0.0,83,82,83,67
1,52,32,4,0.6210886161375768,0.8705301647414904,0.6606499117188678,2.099436416831238,0.9166666666666666,52,72,89,60
1,26,39,2,0.49442041676932197,1.0055641036062077,0.8002350451658156,2.0209466403330465,0.8888888888888888,71,81,73,68
0,29,29,4,1.0,1.7554167342883506e-16,1.4548037187194783e-16,3.3306690738754696e-16,0.8888888888888888,83,91,100,100
0,34,20,1,0.40204665843612386,1.0935751840306878,0.8323456907941766,2.592030234190926,0.8571428571428572,52,60,52,44
1,22,18,4,0.9021102629995753,0.44246974359932173,0.43234710559845296,0.6270107327553205,0.9,90,100,100,90
1,21,21,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1,51,42,4,0.48844435775583084,1.0114896363721866,0.754635944112381,2.4821017495469055,0.9285714285714286,65,69,69,56
1,27,27,3,0.8165350310756865,0.6057474208353074,0.550228890272912,0.9852342973732979,0.8888888888888888,85,85,90,85
0,68,98,0,0.0,1.4142135623730951,0.887032738141519,6.224558440506427,0.9473684210526316,14,28,32,31
0,36,59,4,0.5815686830486232,0.9148019643085346,0.6450640522214613,2.814822345038844,0.9375,46,61,76,59
1,27,37,3,0.5795886206354719,0.916963880820317,0.7611765884710724,1.7786171039952086,0.8888888888888888,75,78,90,75
0,69,135,2,0.132112247250973,1.317488332205661,0.7952923647773545,6.320536859472925,0.9545454545454546,29,32,34,34
0,39,39,4,0.8207858129894986,0.5986888791526055,0.47392506650175203,1.329430162847471,0.9166666666666666,74,74,90,77
0,16,16,3,1.0000000000000002,0.0,0.0,0.0,0.0,69,69,100,100
0,39,33,3,0.6465537024041854,0.8407690498535428,0.667284031474354,1.7144561708854251,0.8888888888888888,61,67,88,58
0,62,86,6,0.5952173603949044,0.8997584560370586,0.6109483207018952,3.1190146744411633,0.95,54,58,69,64
1,20,20,2,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1,96,68,5,0.494860315721294,1.0051265435542989,0.6898892062783485,3.3873934331316864,0.95,51,46,73,57
0,133,25,3,0.5130792225771673,0.9868341070543042,0.684887875200891,3.4907303988818694,0.9444444444444444,18,56,78,27
0,71,26,0,0.0,1.4142135623730951,1.0208772648311881,4.278517176469715,0.8888888888888888,25,27,21,21
0,29,24,3,0.7553065897641152,0.6995618775146124,0.623316351047141,1.0139939172492634,0.875,72,84,80,60
0,55,15,0,0.0,1.4142135623730951,1.0004227914640071,4.302446337022924,0.8888888888888888,29,40,23,23
1,20,25,3,0.8128004273799286,0.6118816431632371,0.5482622394227709,1.0233485113760468,0.875,84,90,100,84
1,46,29,3,0.48305127835463396,1.0168074760202799,0.7614476221414972,2.716172933170572,0.9230769230769231,45,55,55,43
0,34,21,2,0.5083028521996676,0.9916623899294885,0.7942913678326319,2.1399598143735763,0.8888888888888888,47,76,76,65
0,34,104,0,0.0,1.4142135623730951,0.9400375543926348,5.4066183399878796,0.9411764705882353,28,41,25,22
1,23,36,2,0.5297199234507045,0.969824805363624,0.7805541806500418,2.079628568449457,0.8888888888888888,61,65,76,61
1,10,16,2,0.82914392764098,0.5845614978067238,0.5628323947463584,0.7993325374820123,0.8333333333333334,77,70,100,77
1,8,11,1,0.6205346236731251,0.8711663174467607,0.7335663913612593,1.5145586742130737,0.8333333333333334,32,55,55,53
0,14,14,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
0,34,45,0,0.0,1.4142135623730951,0.9579597212268699,4.7599356504686625,0.9230769230769231,30,35,41,41
1,38,41,4,0.7910776560103087,0.6464090717025736,0.5372413394718428,1.2508257445327648,0.875,68,74,88,76
0,31,45,3,0.528918418587191,0.9706508964739166,0.6873133699482574,2.9857014058678817,0.9285714285714286,45,65,65,61
1,60,51,7,0.9499897391441032,0.316260212027681,0.27222123466513265,0.686869955985061,0.9333333333333333,63,69,100,92
0,27,33,1,0.2151834363304068,1.2528500019312714,0.9950563148845003,2.5227449966919497,0.8333333333333334,70,63,67,67
0,39,69,3,0.4405435651128656,1.0577867789749826,0.7444742995804832,3.2689143671896206,0.9166666666666666,48,67,66,46
1,44,21,4,0.6639042168040431,0.8198728964857382,0.6436322546316517,1.9540225218319198,0.9166666666666666,65,100,100,65
0,29,32,2,0.5659080104679117,0.9317639073628987,0.7728184737692094,1.8002802138003313,0.8888888888888888,56,59,79,79
0,31,32,3,0.6189587058087046,0.8729734179129344,0.6780001194883618,1.969710473855538,0.9166666666666666,67,69,76,76
0,61,59,8,0.9452214812681542,0.33099401424148395,0.3266744931958656,0.46811380629568056,0.9444444444444444,92,93,95,90
0,20,34,1,0.23322552121972315,1.2383654378092734,0.9857950228646698,2.7647563660622416,0.875,48,55,42,37
0,48,64,3,0.367761271257541,1.124489865443401,0.7613627382752877,3.712007682052029,0.9411764705882353,50,58,65,54
1,19,33,2,0.5865432722191,0.9093478188030146,0.730278215081517,2.0292210202870247,0.8888888888888888,58,79,81,58
1,25,38,3,0.6023257504542978,0.891823132180033,0.7148571754593881,1.940694245622214,0.9,63,76,81,60
0,38,26,2,0.493854460651078,1.006126770689382,0.7025683589735693,3.159500327680525,0.9285714285714286,28,35,53,41
1,38,45,5,0.7012289434879999,0.7730084818577351,0.6197503482242526,1.5795033531065759,0.9333333333333333,75,68,85,80
0,52,109,2,0.23155002614198714,1.239717688716276,0.8516925598145653,4.384702201978381,0.9375,40,54,56,47
0,33,27,3,0.7274305074489661,0.7383352796000391,0.6577819541534639,1.0441637659889065,0.0,77,63,88,77
